,city,lat,temp_max,windspeed,cloudiness,humidity
0,yumen,40.29,42.51,7.78,100,39
1,narsaq,60.91,41.0,12.75,75,52
2,stribro,49.75,43.0,2.24,94,100
3,scarborough,54.28,45.0,10.29,80,100
4,new norfolk,-42.78,52.0,10.29,20,57
5,hofn,64.25,34.65,18.05,100,82
6,rocha,-34.48,61.18,6.22,0,65
7,jamestown,-33.21,56.91,7.25,14,39
8,butaritari,3.07,84.09,12.39,0,76
9,zatoka,50.04,48.99,2.24,75,100
10,cheltenham,51.9,48.99,10.29,75,87
11,port hardy,50.7,53.6,6.93,20,76
12,qasigiannguit,68.82,32.0,10.29,40,58
13,rikitea,-23.12,76.71,5.37,0,80
14,vaini,15.34,69.4,0.74,63,93
15,yarada,17.65,78.8,2.24,40,88
16,tema,5.66,80.6,5.82,20,88
17,atuona,-9.8,80.49,21.59,21,73
18,chokurdakh,70.62,3.25,6.08,97,94
19,oume,6.38,80.6,2.68,0,88
20,dolores,-33.53,79.0,3.0,0,47
21,lompoc,34.64,84.99,3.36,1,55
22,marsa matruh,31.35,74.05,5.53,0,66
23,gboko,7.32,79.03,6.33,1,80
24,livingston,32.58,75.2,6.93,1,40
25,qaqortoq,60.72,41.0,12.75,75,52
26,enshi,30.29,49.57,0.22,100,93
27,ushuaia,-54.81,42.8,19.46,75,80
28,namibe,-15.19,73.4,3.62,34,80
29,albany,42.65,57.0,9.17,90,58
30,auraiya,26.47,71.02,5.01,11,42
31,vestmanna,62.16,35.6,10.29,79,64
32,kavaratti,10.57,80.96,13.0,11,82
33,changji,32.07,55.76,6.31,99,51
34,hermanus,-34.42,64.0,17.09,69,88
35,nikolskoye,59.7,35.01,13.42,75,86
36,bredasdorp,-34.53,62.6,6.93,89,63
37,padang,-0.92,64.62,1.48,100,87
38,algiers,29.94,78.8,9.17,1,39
39,qaanaaq,77.48,4.93,10.16,88,59
40,vila velha,-3.71,86.0,16.11,20,66
41,port blair,11.67,81.88,19.19,86,80
42,betare oya,5.6,69.12,2.19,0,79
43,mataura,-46.19,54.0,1.99,93,84
44,praia da vitoria,38.73,61.86,6.42,64,65
45,cape town,-33.93,66.0,13.87,40,82
46,mahebourg,-20.41,73.4,3.36,20,88
47,moss vale,-34.55,54.0,8.05,0,81
48,san cristobal,14.68,76.89,4.32,61,71
49,asturias,10.57,77.0,9.17,90,94
50,mount gambier,-37.83,51.8,8.05,90,93
51,maceio,-9.67,82.4,13.87,20,61
52,lavrentiya,65.58,24.12,10.54,9,85
53,punta arenas,-53.16,44.6,20.8,75,80
54,ilulissat,69.22,32.0,10.29,40,58
55,khatanga,71.98,-5.82,9.62,0,86
56,ponnani,10.77,80.6,1.81,40,88
57,lufilufi,-13.87,75.0,5.01,100,94
58,yatou,3.63,77.0,2.24,20,100
59,georgetown,6.8,86.0,9.17,20,79
60,kupang,-10.16,81.1,4.74,57,69
61,havre-saint-pierre,50.23,44.6,13.87,75,81
62,rongcheng,37.16,50.36,6.87,3,62
63,zalantun,48.0,22.69,1.39,100,36
64,tura,64.27,-5.1,4.14,100,98
65,tasiilaq,65.61,28.27,44.49,100,72
66,troitskoye,52.98,30.58,5.26,1,85
67,indianola,40.24,60.8,14.99,1,36
68,esperance,-33.86,53.6,8.05,90,81
69,cherskiy,68.75,10.58,4.7,30,78
70,bethel,60.79,26.6,26.51,90,92
71,gilbues,-9.83,86.07,4.47,89,45
72,sur,22.57,77.05,4.14,0,69
73,busselton,-33.64,48.0,6.31,28,68
74,ballina,54.11,46.0,3.36,75,93
